"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","bioid","id","name","gender","type","party","facebook","youtube","chamber"
"abc","28785486","ABC","ABC News","All the news and information you need to see, curated by the @ABC News team. Instagram: https://t.co/pPlGmNHztz",13806747,215069,577,"Sat Apr 04 12:40:32 +0000 2009","New York City / Worldwide",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"aclu","13393052","ACLU","ACLU","The ACLU is a nonprofit, nonpartisan, legal and advocacy 501(c)(4) organization. Visit our site for more about us and our affiliated org, the ACLU Foundation.",1492240,41739,5670,"Tue Feb 12 16:27:34 +0000 2008","All 50 states",NA,NA,NA,NA,"Interest groups",NA,NA,NA,NA
"aei","30864583","AEI","AEI","Cherish freedom? The power of enterprise? Opportunity for all? It's these core beliefs that drive the scholars and staff at the American Enterprise Institute.",109242,52818,6187,"Mon Apr 13 13:33:33 +0000 2009","Washington, DC",NA,NA,NA,NA,"Interest groups",NA,NA,NA,NA
"ajam","1178700896","ajam","Al Jazeera America","Reporting unbiased, fact-based and in-depth journalism that gets you closer to the people at the heart of the news",322255,36362,275,"Thu Feb 14 11:45:59 +0000 2013","US",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"algore","17220934","algore","Al Gore","",3057811,2462,33,"Thu Nov 06 22:21:18 +0000 2008","Nashville, TN",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"andersoncooper","15224867","andersoncooper","Anderson Cooper","tweets by Anderson Cooper. Anchor @AC360 and correspondent on @60Minutes. Author of NYTimes Best Seller - The Rainbow Comes And Goes https://t.co/1cZvasmMBi",9906053,18265,264,"Tue Jun 24 22:37:59 +0000 2008","New York",NA,NA,NA,NA,"Journalists",NA,NA,NA,NA
"anncoulter","196168350","AnnCoulter","Ann Coulter","Author - follow me on #Facebook! https://t.co/i7VTQ5btPI",1984916,34802,928,"Tue Sep 28 14:04:51 +0000 2010","Los Angeles/NYC",NA,NA,NA,NA,"Journalists",NA,NA,NA,NA
"austinscottga08","234797704","AustinScottGA08","Rep. Austin Scott","I am proud to represent the 8th Congressional District of Georgia. | Committees: @HASCRepublicans and @HouseAgNews | Also at https://t.co/gEh48fmc4Q.",17659,2563,411,"Thu Jan 06 16:01:46 +0000 2011","Tifton, GA","S001189","02009","Austin Scott","M","Congress","Republican","RepAustinScott","RepAustinScott","rep"
"bbcworld","742143","BBCWorld","BBC News (World)","News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport",23354321,281273,85,"Thu Feb 01 07:44:29 +0000 2007","London, UK",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"benniegthompson","82453460","BennieGThompson","Bennie G. Thompson","Husband. Father. Grandfather. Avid hunter. Proudly serving #MS02 in Congress. | Ranking member of @HomelandDems. | Follow my Instagram: @benniegthompson.",9169,1437,452,"Wed Oct 14 20:47:03 +0000 2009","Bolton, Mississippi","T000193","01151","Bennie G. Thompson","M","Congress","Democrat","CongressmanBennieGThompson","RepBennieThompson","rep"
