chamber,party,type,name,gender,bioid,screen_name,phi,merge
,,Interest groups,,,,ACLU,-1.67111,aclu
,,Interest groups,,,,HRC,-1.57314,hrc
,,Journalists,,,,chrislhayes,-1.53709,chrislhayes
,,Interest groups,,,,glaad,-1.53687,glaad
,,Media Outlets,,,,MotherJones,-1.47471,motherjones
,,Media Outlets,,,,dailykos,-1.44794,dailykos
,,Other Politicians,,,,JoeBiden,-1.43536,joebiden
,,Journalists,,,,donlemon,-1.42641,donlemon
,,Media Outlets,,,,thinkprogress,-1.42542,thinkprogress
,,Journalists,,,,maddow,-1.38434,maddow
,,Media Outlets,,,,TheDailyShow,-1.36206,thedailyshow
,,Media Outlets,,,,StephenAtHome,-1.34513,stephenathome
,,Interest groups,,,,OccupyWallSt,-1.28252,occupywallst
,,Media Outlets,,,,edshow,-1.28205,edshow
,Democrat,Primary Candidate,,,,BernieSanders,-1.2754,berniesanders
,,Other Politicians,,,,algore,-1.27179,algore
,,Other Politicians,,,,TheDemocrats,-1.18507,thedemocrats
,,Media Outlets,,,,Slate,-1.14801,slate
,,Media Outlets,,,,MSNBC,-1.13731,msnbc
,,Other Politicians,,,,dccc,-1.13668,dccc
,,Other Politicians,,,,BillClinton,-1.10955,billclinton
,Democrat,Primary Candidate,,,,HillaryClinton,-1.10498,hillaryclinton
,,Other Politicians,,,,SenateDems,-1.1027,senatedems
,,Journalists,,,,andersoncooper,-1.09243,andersoncooper
,,Media Outlets,,,,NewYorker,-1.09043,newyorker
,,Media Outlets,,,,ajam,-1.08605,ajam
,,Media Outlets,,,,NPR,-1.08602,npr
,,Media Outlets,,,,GuardianUS,-1.0412,guardianus
,,Other Politicians,,,,HouseDemocrats,-1.03231,housedemocrats
,,Media Outlets,,,,HuffPostPol,-1.02205,huffpostpol
,,Media Outlets,,,,NewsHour,-1.01269,newshour
,,Media Outlets,,,,nytimes,-0.93404,nytimes
,,Media Outlets,,,,washingtonpost,-0.87531,washingtonpost
,,Journalists,,,,GStephanopoulos,-0.83834,gstephanopoulos
,,Other Politicians,,,,POTUS,-0.83468,potus
,,Media Outlets,,,,politico,-0.8063,politico
,,Media Outlets,,,,BBCWorld,-0.75928,bbcworld
,,Media Outlets,,,,NBCNews,-0.74183,nbcnews
,,Interest groups,,,,BrookingsInst,-0.71826,brookingsinst
,,Media Outlets,,,,ABC,-0.71091,abc
,,Media Outlets,,,,BuzzFeedPol,-0.64815,buzzfeedpol
,,Media Outlets,,,,CBSNews,-0.58305,cbsnews
,,Media Outlets,,,,CNN,-0.57201,cnn
,,Media Outlets,,,,EconUS,-0.55401,econus
,,Other Politicians,,,,SenateMajLdr,-0.52183,senatemajldr
,,Media Outlets,,,,USATODAY,-0.51835,usatoday
,,Interest groups,,,,RANDCorporation,-0.42676,randcorporation
