"thomas_id","id","chamber","stdis","first_name","last_name","party","congress_account","congress_account_id","candidate_account","candidate_account_id","personal_account","personal_account_id","press_account","press_account_id","facebook_account_name","facebook_account_id"
1694,"M001153","Senate","AK","Lisa","Murkowski","R","lisamurkowski","18061669","",NA,"",NA,"",NA,"SenLisaMurkowski","25271170290"
1256,"Y000033","House","AK","Don","Young","R","repdonyoung","37007274","",NA,"",NA,"",NA,"RepDonYoung","7476269851"
1898,"B001265","Senate","AK","Mark","Begich","D","senatorbegich","83901492","",NA,"",NA,"",NA,"Begich","121360477876652"
1548,"S001141","Senate","AL","Jeff","Sessions","R","senatorsessions","47975734","",NA,"",NA,"",NA,"jeffsessions","23444159584"
1049,"S000320","Senate","AL","Richard","Shelby","R","senshelby","21111098","",NA,"",NA,"",NA,"RichardShelby","50850514797"
1703,"B001244","House","AL1","Jo","Bonner","R","repjobonner","190798793","",NA,"",NA,"",NA,"jobonner","49704847429"
1986,"R000591","House","AL2","Martha","Roby","R","repmartharoby","224294785","",NA,"",NA,"",NA,"Representative.Martha.Roby","174519582574426"
1704,"R000575","House","AL3","Mike","Rogers","R","repmikerogersal","33977070","",NA,"",NA,"",NA,"CongressmanMikeDRogers","171770326187035"
1460,"A000055","House","AL4","Robert","Aderholt","R","robert_aderholt","76452765","",NA,"",NA,"",NA,"RobertAderholt","19787529402"
1987,"B001274","House","AL5","Mo","Brooks","R","repmobrooks","237299871","",NA,"",NA,"",NA,NA,"155220881193244"
38,"B000013","House","AL6","Spencer","Bachus","R","bachusal06","78431501","",NA,"",NA,"",NA,"SpencerBachus","6769692966"
1988,"S001185","House","AL7","Terri","Sewell","D","repterrisewell","381152398","",NA,"",NA,"",NA,"RepSewell","117758198297225"
1687,"B001236","Senate","AR","John","Boozman","R","johnboozman","5558312","",NA,"",NA,"",NA,"JohnBoozman","7686715735"
1701,"P000590","Senate","AR","Mark","Pryor","D","senmarkpryor","426655227","",NA,"",NA,"",NA,"MarkPryor","9248638978"
1989,"C001087","House","AR1","Rick","Crawford","R","reprickcrawford","233693291","",NA,"",NA,"",NA,"RepRickCrawford","143344975723788"
1990,"G000567","House","AR2","Tim","Griffin","R","reptimgriffin","201079432","",NA,"",NA,"",NA,"",NA
1991,"W000809","House","AR3","Steve","Womack","R","rep_stevewomack","234469322","",NA,"",NA,"",NA,"RepSteveWomack","135898413136490"
2098,"C001095","House","AR4","Tom","Cotton","R","reptomcotton","968650362","tomcottonar","343041182","",NA,"",NA,"RepTomCotton","120355701459307"
