"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","id","bioid","name","gender","type","party"
"abc","28785486","ABC","ABC News","See the whole picture with @ABC News. Tweets from the Social Desk: @Springer, @MicahGrimes & @callingcaterina",4216806,107654,860,"Sat Apr 04 12:40:32 +0000 2009","New York City / Worldwide",NA,NA,NA,NA,"Media Outlets",NA
"ajam","1178700896","ajam","Al Jazeera America","Reporting unbiased, fact-based and in-depth journalism that gets you closer to the people at the heart of the news",269616,28109,265,"Thu Feb 14 11:45:59 +0000 2013","US",NA,NA,NA,NA,"Media Outlets",NA
"andercrenshaw","20209807","AnderCrenshaw","Ander Crenshaw","Member of Congress, FL-04",8540,931,221,"Fri Feb 06 01:48:11 +0000 2009","Washington, D.C.","01643","C001045","Ander Crenshaw","M","Congress","Republican"
"austinscottga08","234797704","AustinScottGA08","Rep. Austin Scott","I am proud to represent the 8th Congressional District of Georgia.",7698,1505,316,"Thu Jan 06 16:01:46 +0000 2011","Ashburn, GA","02009","S001189","Austin Scott","M","Congress","Republican"
"bbcworld","742143","BBCWorld","BBC News (World)","World News, features and analysis (http://t.co/JnU7o4nQJx). For UK news, follow @BBCNews. For breaking news, follow @BBCBreaking. Latest sport news @BBCSport.",10142740,203743,61,"Thu Feb 01 07:44:29 +0000 2007","London, UK",NA,NA,NA,NA,"Media Outlets",NA
"benniegthompson","82453460","BennieGThompson","RepBThompson","",4674,465,405,"Wed Oct 14 20:47:03 +0000 2009","Bolton, Mississippi","01151","T000193","Bennie G. Thompson","M","Congress","Democrat"
"bettymccollum04","516880804","BettyMcCollum04","Betty McCollum","I am currently serving my seventh term in the United States Congress, representing the residents of Minnesota’s Fourth Congressional District.",6366,2568,784,"Tue Mar 06 20:52:11 +0000 2012","St. Paul, MN","01653","M001143","Betty McCollum","F","Congress","Democrat"
"billpascrell","74508260","BillPascrell","Bill Pascrell, Jr.","I represent the 9th District of New Jersey in the House of Representatives. I currently serve on the Ways and Means and Budget Committees.",4654,864,331,"Tue Sep 15 17:54:32 +0000 2009","Paterson, NJ","01510","P000096","Bill Pascrell Jr.","M","Congress","Democrat"
"bloomberg","104237736","Bloomberg","Bloomberg LP","Connecting decision makers to a dynamic network of information, people and ideas.",415864,22188,105,"Tue Jan 12 18:39:13 +0000 2010","Around the globe",NA,NA,NA,NA,"Media Outlets",NA
"blumenauermedia","137823987","BlumenauerMedia","Blumenauer Media","Rep. Earl Blumenauer (OR-03) congressional account. Tweets are by staff.",2752,355,250,"Tue Apr 27 21:48:06 +0000 2010","","00099","B000574","Earl Blumenauer","M","Congress","Democrat"
"bobbyjindal","17078632","BobbyJindal","Gov. Bobby Jindal","The Official Bobby Jindal Twitter Page",184908,2133,20940,"Fri Oct 31 01:35:15 +0000 2008","Baton Rouge, LA",NA,NA,NA,NA,"Primary Candidate","Republican"
"boblatta","15394954","boblatta","U.S. Rep. Bob Latta","Representing #OH5. On the Energy & Commerce Committee. Vice Chairman of the Communications & Technology Subcommittee. Co-Chair of @GOPNMC",15259,5110,5792,"Fri Jul 11 18:33:24 +0000 2008","ÜT: 41.052377,-82.130057","01885","L000566","Robert E. Latta","M","Congress","Republican"
"bradsherman","30216513","BradSherman","Brad Sherman","Serving California's San Fernando Valley.  Admission: Some of these tweets are prepared by my staff on my behalf. ReTweets are not an endorsement.",7637,579,112,"Fri Apr 10 13:38:03 +0000 2009","Sherman Oaks, CA","01526","S000344","Brad Sherman","M","Congress","Democrat"
"breitbartnews","457984599","BreitbartNews","Breitbart News","",218340,51986,658,"Sun Jan 08 01:50:52 +0000 2012","",NA,NA,NA,NA,"Media Outlets",NA
"buzzfeedpol","456806128","BuzzFeedPol","BuzzFeed Politics","News and updates from the politics team @BuzzFeedNews.",35754,18138,2870,"Fri Jan 06 17:45:56 +0000 2012","New York & Washington",NA,NA,NA,NA,"Media Outlets",NA
"call_me_dutch","305620929","Call_Me_Dutch","Dutch Ruppersberger","U.S. Congressman serving Maryland's 2nd District. Member of House Appropriations Committee. Loves all things Baltimore esp. the Ravens, Orioles and crabs.",5458,1702,1154,"Thu May 26 14:39:08 +0000 2011","Washington, DC","01728","R000576","C. A. Dutch Ruppersberger","M","Congress","Democrat"
