"id","bioid","name","gender","type","party","twitter"
"00062","B000213","Joe Barton","M","rep","Republican","RepJoeBarton"
"00070","B000287","Xavier Becerra","M","rep","Democrat","RepBecerra"
"00091","B000490","Sanford D. Bishop Jr.","M","rep","Democrat","SanfordBishop"
"00099","B000574","Earl Blumenauer","M","rep","Democrat","BlumenauerMedia"
"00102","B000589","John A. Boehner","M","rep","Republican","SpeakerBoehner"
"00116","B000711","Barbara Boxer","F","sen","Democrat","SenatorBoxer"
"00132","B000911","Corrine Brown","F","rep","Democrat","RepCorrineBrown"
"00136","B000944","Sherrod Brown","M","sen","Democrat","SenSherrodBrown"
"00153","B001135","Richard Burr","M","sen","Republican","SenatorBurr"
"00165","C000059","Ken Calvert","M","rep","Republican","KenCalvert"
"00172","C000127","Maria Cantwell","F","sen","Democrat","SenatorCantwell"
"00174","C000141","Benjamin L. Cardin","M","sen","Democrat","SenatorCardin"
"00179","C000174","Thomas R. Carper","M","sen","Democrat","SenatorCarper"
"00186","C000266","Steve Chabot","M","rep","Republican","RepSteveChabot"
"00208","C000537","James E. Clyburn","M","rep","Democrat","Clyburn"
"00209","C000542","Daniel Coats","M","sen","Republican","SenDanCoats"
"00213","C000567","Thad Cochran","M","sen","Republican","SenThadCochran"
"00229","C000714","John Conyers Jr.","M","rep","Democrat","RepJohnConyers"
"00231","C000754","Jim Cooper","M","rep","Democrat","RepJimCooper"
"00250","C000880","Mike Crapo","M","sen","Republican","MikeCrapo"
"00256","C000984","Elijah E. Cummings","M","rep","Democrat","RepCummings"
"00279","D000191","Peter A. DeFazio","M","rep","Democrat","RepPeterDeFazio"
"00281","D000216","Rosa L. DeLauro","F","rep","Democrat","RosaDeLauro"
"00303","D000399","Lloyd Doggett","M","rep","Democrat","RepLloydDoggett"
"00316","D000482","Michael F. Doyle","M","rep","Democrat","USRepMikeDoyle"
"00322","D000533","John J. Duncan Jr.","M","rep","Republican","RepJohnDuncanJr"
"00326","D000563","Richard J. Durbin","M","sen","Democrat","SenatorDurbin"
"00344","E000179","Eliot L. Engel","M","rep","Democrat","RepEliotEngel"
"00355","E000215","Anna G. Eshoo","F","rep","Democrat","RepAnnaEshoo"
"00368","F000030","Sam Farr","M","rep","Democrat","RepSamFarr"
"00371","F000043","Chaka Fattah","M","rep","Democrat","ChakaFattah"
"00414","F000372","Rodney P. Frelinghuysen","M","rep","Republican","USRepRodney"
"00446","G000289","Bob Goodlatte","M","rep","Republican","RepGoodlatte"
"00452","G000359","Lindsey Graham","M","sen","Republican","GrahamBlog"
"00457","G000386","Chuck Grassley","M","sen","Republican","ChuckGrassley"
"00462","G000410","Gene Green","M","rep","Democrat","RepGeneGreen"
"00478","G000535","Luis V. Gutiérrez","M","rep","Democrat","LuisGutierrez"
"00511","H000324","Alcee L. Hastings","M","rep","Democrat","RepHastingsFL"
"00566","H000874","Steny H. Hoyer","M","rep","Democrat","WhipHoyer"
"00583","I000024","James M. Inhofe","M","sen","Republican","InhofePress"
"00588","J000032","Sheila Jackson Lee","F","rep","Democrat","JacksonLeeTX18"
"00599","J000126","Eddie Bernice Johnson","F","rep","Democrat","RepEBJ"
"00603","J000174","Sam Johnson","M","rep","Republican","SamsPressShop"
"00612","J000255","Walter B. Jones","M","rep","Republican","RepWalterJones"
"00616","K000009","Marcy Kaptur","F","rep","Democrat","RepMarcyKaptur"
"00635","K000210","Peter T. King","M","rep","Republican","RepPeteKing"
"00683","L000263","Sander M. Levin","M","rep","Democrat","RepSandyLevin"
"00688","L000287","John Lewis","M","rep","Democrat","RepJohnLewis"
"00699","L000554","Frank A. LoBiondo","M","rep","Republican","RepLoBiondo"
"00701","L000397","Zoe Lofgren","F","rep","Democrat","RepZoeLofgren"
"00709","L000480","Nita M. Lowey","F","rep","Democrat","NitaLowey"
"00711","L000491","Frank D. Lucas","M","rep","Republican","RepFrankLucas"
"00729","M000087","Carolyn B. Maloney","F","rep","Democrat","RepMaloney"
"00735","M000133","Edward J. Markey","M","sen","Democrat","MarkeyMemo"
"00754","M000303","John McCain","M","sen","Republican","SenJohnMcCain"
"00766","M000404","Jim McDermott","M","rep","Democrat","RepJimMcDermott"
"00791","M000639","Robert Menendez","M","sen","Democrat","SenatorMenendez"
