"state","party","gender","nameid","icpsr.id","govtrack.id","cspan.id","thomas.id","class","next.election","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"MA","D","F","W000817","41301","412542","1023023","2182", , ,0,-1.76657477212744,-2.72004008056741,-0.991834984048056,"Warren (D-MA)",1,"Elizabeth","Warren"
"OR","D","M","M001176","40908","412325","1029842","1900", , ,0,-1.73176019134101,-2.62086606512373,-0.909574965610043,"Merkley (D-OR)",2,"Jeff","Merkley"
"HI","D","F","H001042","20713","412200","91216","1844", , ,1,-1.7315303118273,-2.76967843895022,-0.903433094618955,"Hirono (D-HI)",3,"Mazie","Hirono"
"MA","D","M","M000133","14435","400253","260","735", , ,0,-1.7262584299095,-2.58320767625351,-0.899218306202603,"Markey (D-MA)",4,"Edward","Markey"
"NJ","D","M","M000639","29373","400272","29608","791", , ,2,-1.7256883882669,-2.56008387733486,-0.873186080969578,"Menendez (D-NJ)",5,"Robert","Menendez"
"NY","D","F","G000555","20735","412223","1022862","1866", , ,0,-1.7032949615625,-2.52537865837751,-0.906059090426743,"Gillibrand (D-NY)",6,"Kirsten","Gillibrand"
"OH","D","M","B000944","29389","400050","5051","136", , ,4,-1.69706869459007,-2.48575473612744,-0.918113516050192,"Brown (D-OH)",7,"Sherrod","Brown"
"CA","D","F","B000711","15011","300011","2470","116", , ,19,-1.69221745879391,-2.64488038390405,-0.962356909890498,"Boxer (D-CA)",8,"Barbara","Boxer"
"RI","D","M","R000122","29142","300081","24239","949", , ,0,-1.65462904682617,-2.56628331078745,-0.975055190395799,"Reed (D-RI)",9,"Jack","Reed"
"RI","D","M","W000802","40704","412247","92235","1823", , ,0,-1.63989190250784,-2.46281444167416,-0.916466263149132,"Whitehouse (D-RI)",10,"Sheldon","Whitehouse"
"MN","D","M","F000457","40904","412378","23334","1969", , ,6,-1.61420694695056,-2.51612955294555,-1.00912483851433,"Franken (D-MN)",11,"Al","Franken"
"VT","D","M","L000174","14307","300065","1552","1383", , ,0,-1.50938133812665,-2.28007628781378,-0.843145990860122,"Leahy (D-VT)",12,"Patrick","Leahy"
"NJ","D","M","B001288","41308","412598","84679","2194", , ,1,-1.48887740322262,-2.18138734683607,-0.842007848443471,"Booker (D-NJ)",13,"Cory","Booker"
"MD","D","F","M000702","14440","300073","1396","802", , ,13,-1.48568258890718,-2.22216839288385,-0.886726142194883,"Mikulski (D-MD)",14,"Barbara","Mikulski"
"WI","D","F","B001230","29940","400013","57884","1558", , ,0,-1.35453293544702,-1.97443791913092,-0.864032028196091,"Baldwin (D-WI)",15,"Tammy","Baldwin"
"CT","D","M","M001169","20707","412194","1021270","1837", , ,0,-1.2739801021032,-1.92632969282509,-0.78733024700096,"Murphy (D-CT)",16,"Christopher","Murphy"
"NY","D","M","S000148","14858","300087","5929","1036", , ,0,-1.2638667492212,-1.83383724519288,-0.771382148510368,"Schumer (D-NY)",17,"Charles","Schumer"
"NV","D","M","R000146","15054","300082","1683","952", , ,52,-1.22087565066476,-1.84857175962168,-0.660421809238082,"Reid (D-NV)",18,"Harry","Reid"
"IL","D","M","D000563","15021","300038","6741","326", , ,1,-1.18498171057191,-1.73139032938458,-0.73064792134469,"Durbin (D-IL)",19,"Richard","Durbin"
"MD","D","M","C000141","15408","400064","4004","174", , ,0,-1.14896810068006,-1.63207911706927,-0.727194056088332,"Cardin (D-MD)",20,"Benjamin","Cardin"
"MI","D","M","P000595","20923","412305","50199","1929", , ,1,-1.09207874746367,-1.54103417046779,-0.667437632826764,"Peters (D-MI)",21,"Gary","Peters"
"MI","D","F","S000770","29732","300093","45451","1531", , ,0,-0.976628647372432,-1.39491529074828,-0.649168732393472,"Stabenow (D-MI)",22,"Debbie","Stabenow"
"VT","I","M","S000033","29147","400357","994","1010", , ,1,-0.940816850816815,-1.32319826016115,-0.58189007113606,"Sanders (I-VT)",23,"Bernard","Sanders"
"CT","D","M","B001277","41101","412490","21799","2076", , ,0,-0.908823869628287,-1.29767494508787,-0.588630141428369,"Blumenthal (D-CT)",24,"Richard","Blumenthal"
